question,label
더치커피로 하나주세요,S-COFFEE S-COUNT
아이스 아메리카노 한잔 주세요 아 그리고 샷 하나 추가요,S-TEMP S-COFFEE S-COUNT O O O O S-COUNT O
아메리카노도 여섯 잔 부탁드립니다,S-COFFEE B-COUNT E-COUNT O
아이스 아메리카노 하나 주세요,S-TEMP S-COFFEE S-COUNT O
딸기 바나나 섞은거 한잔 주세요,B-JUICE E-JUICE O S-COUNT O
아메리카노 한 잔 주세요,S-COFFEE B-COUNT E-COUNT O
저는 뜨겁게 자몽차 두잔 주세요,O S-TEMP S-TEA S-COUNT O
아이스 아메리카노 샷 추가 하나랑 아이스 초코 라테 한 잔 주세요,S-TEMP S-COFFEE O O S-COUNT S-TEMP B-COFFEE E-COFFEE B-COUNT E-COUNT O
아메리카노 한잔 주세요,S-COFFEE S-COUNT O
아메리카노 4000원 하나 주문하겠습니다,S-COFFEE O S-COUNT O
아이스 아메리카노 하나 주세요,S-TEMP S-COFFEE S-COUNT O
그러면 아메리카노 라지 사이즈 하나 주세요,O S-COFFEE B-SIZE E-SIZE S-COUNT O
아메리카노 하나 주세요,S-COFFEE S-COUNT O
저 카모마일 한 잔 따뜻하게 주세요,O S-TEA B-COUNT E-COUNT S-TEMP O
그럼 아이스 아메리카노랑 치즈케이크 주세요,O S-TEMP S-COFFEE S-BAKE O
아메리카노 한 잔 주세요,S-COFFEE B-COUNT E-COUNT O
아이스 아메리카노 한 잔 샷 추가해서 주세요,S-TEMP S-COFFEE B-COUNT E-COUNT O O O
아메리카노 4잔 주세요,S-COFFEE S-COUNT O
아메리카노 5잔 주시겠어요,S-COFFEE S-COUNT O
카페라테 따뜻한 거 하나랑 아이스 카페라테 4잔,S-COFFEE S-TEMP O S-COUNT S-TEMP S-COFFEE S-COUNT
아이스 아메리카노 작은 걸로 하나 주세요,S-TEMP S-COFFEE S-SIZE O S-COUNT O
카페라테 아이스로 5잔 주세요,S-COFFEE S-TEMP S-COUNT O
카페라테 따뜻하게 한 잔 주세요,S-COFFEE S-TEMP B-COUNT E-COUNT O
아이스 라떼로 4잔 주세요,S-TEMP S-COFFEE S-COUNT O
그럼 아메리카노 하나 주세요,O S-COFFEE S-COUNT O
딸기 주스 하나 주세요,B-JUICE E-JUICE S-COUNT O
아메리카노 5잔 주세요,S-COFFEE S-COUNT O
아메리카노 하나요,S-COFFEE S-COUNT
카푸치노 하나랑 라떼 하나랑 따뜻한 걸로 주세요,S-COFFEE S-COUNT S-COFFEE S-COUNT S-TEMP O O
아이스 라떼 하나요,S-TEMP S-COFFEE S-COUNT
아메리카노 한 잔 주세요,S-COFFEE B-COUNT E-COUNT O
아메리카노 샷 추가해서 주세요,S-COFFEE O O O
아이스 아메리카노 두 잔 주세요,S-TEMP S-COFFEE B-COUNT E-COUNT O
아메리카노 하나요,S-COFFEE S-COUNT
아메리카노 한 잔 주세요,S-COFFEE B-COUNT E-COUNT O
아이스 아메리카노 1잔 딸기 스무디 1잔 주세요,S-TEMP S-COFFEE S-COUNT B-JUICE E-JUICE S-COUNT O
그럼 아이스 아메리카노 2잔 주세요,O S-TEMP S-COFFEE S-COUNT O
그럼 아메리카노 한 잔하고 핫 샌드위치 한 개 주세요,O S-COFFEE B-COUNT E-COUNT S-TEMP S-BAKE B-COUNT E-COUNT O
카푸치노 4잔 주세요,S-COFFEE S-COUNT O
카페라떼 한 잔 주시겠어요,S-COFFEE B-COUNT E-COUNT O
라떼 하나 주세요,S-COFFEE S-COUNT O
레몬 차 한 잔 주세요,B-TEA E-TEA B-COUNT E-COUNT O
라떼 한 잔 주세요,S-COFFEE B-COUNT E-COUNT O
순수 에이드 5잔 주세요,B-JUICE E-JUICE S-COUNT O
허브티 4잔 주세요,S-TEA S-COUNT O
케모마일 차갑게 5잔 주세요,S-TEA S-TEMP S-COUNT O
아이스 아메리카노 두 잔이랑 치즈케이크 한조각 할게요,S-TEMP S-COFFEE B-COUNT E-COUNT S-BAKE S-COUNT O
아메리카노 한잔 주세요,S-COFFEE S-COUNT O
아이스 아메리카노 한 잔이요,S-TEMP S-COFFEE B-COUNT E-COUNT
아메리카노 따뜻한 걸로 세잔 주세요,S-COFFEE S-TEMP O S-COUNT O
레귤러 사이즈 아메리카노와 베이글 하나 주세요,B-SIZE E-SIZE S-COFFEE S-BAKE S-COUNT O
아이스 아메리카노 하나 주세요,S-TEMP S-COFFEE S-COUNT O
아이스 아메리카노랑 블루베리 머핀 주세요,S-TEMP S-COFFEE B-BAKE E-BAKE O
아이스 아메리카노 하나 주시겠어요,S-TEMP S-COFFEE S-COUNT O
아이스 아메리카노 세 잔 주세요,S-TEMP S-COFFEE B-COUNT E-COUNT O
아이스 커피로 세 잔 천천히 해주세요,S-TEMP S-COFFEE B-COUNT E-COUNT O O
그럼 아이스 아메리카노 샷 추가해서 세 잔 주세요,O S-TEMP S-COFFEE O O B-COUNT E-COUNT O
아메리카노 한 잔이요,S-COFFEE B-COUNT E-COUNT
아이스 아메리카노 한 잔이요,S-TEMP S-COFFEE B-COUNT E-COUNT
아이스 아메리카노 30잔 해주세요,S-TEMP S-COFFEE S-COUNT O
아이스 아메리카노 하나 주세요,S-TEMP S-COFFEE S-COUNT O
아메리카노 두 잔 주세요,S-COFFEE B-COUNT E-COUNT O
아메리카노 레귤러 사이즈 하나랑요 티라미수 하나요,S-COFFEE B-SIZE E-SIZE S-COUNT S-BAKE S-COUNT
아메리카노 한 잔 주세요,S-COFFEE B-COUNT E-COUNT O
아메리카노 한 잔 주세요,S-COFFEE B-COUNT E-COUNT O
아이스 아메리카노 한 잔 주세요,S-TEMP S-COFFEE B-COUNT E-COUNT O
아이스 아메리카노 한 잔 주세요,S-TEMP S-COFFEE B-COUNT E-COUNT O
아메리카노 따듯한 걸로 두 잔 주세요,S-COFFEE S-TEMP O B-COUNT E-COUNT O
아메리카노 한잔하고 치즈 케이크 하나 주시겠어요,S-COFFEE S-COUNT B-BAKE E-BAKE S-COUNT O
그럼 아이스 아메리카노 라지 사이즈 샷 추가해주세요,O S-TEMP S-COFFEE B-SIZE E-SIZE O O
바닐라 라떼 하나 주세요,B-COFFEE E-COFFEE S-COUNT O
그럼 아메리카노 세잔 주세요,O S-COFFEE S-COUNT O
아이스 아메리카노 한 잔 주세요,S-TEMP S-COFFEE B-COUNT E-COUNT O
그럼 밀크티 세 잔 주세요,O S-TEA B-COUNT E-COUNT O
아메리카노 2잔 카페라테 2잔 디카페인으로 테이크아웃해주세요,S-COFFEE S-COUNT S-COFFEE S-COUNT O O
초코 라테 1개 아메리카노 5잔이요,B-COFFEE E-COFFEE S-COUNT S-COFFEE S-COUNT
아메리카노 한 잔 주세요,S-COFFEE B-COUNT E-COUNT O
아이스 아메리카노 한잔 주세요,S-TEMP S-COFFEE S-COUNT O
아이스 아메리카노 2잔 주세요,S-TEMP S-COFFEE S-COUNT O
보리찰떡 하나 하고 아메리카노 한 잔 주세요,S-BAKE S-COUNT O S-COFFEE B-COUNT E-COUNT O
아메리카노 4개 주세요,S-COFFEE S-COUNT O
아메리카노 5개 주세요,S-COFFEE S-COUNT O
아메리카노 뜨거운 걸로 하나 주세요,S-COFFEE S-TEMP O S-COUNT O
톨 사이즈로 아이스 아메리카노 하나 주세요,B-SIZE E-SIZE S-TEMP S-COFFEE S-COUNT O
아이스 아메리카노 한 잔 주세요,S-TEMP S-COFFEE B-COUNT E-COUNT O
아메리카노 하나 따뜻한 걸로 주세요,S-COFFEE S-COUNT S-TEMP O O
아메리카노 4잔 주세요,S-COFFEE S-COUNT O
그럼 밤라떼 하나 주세요,O S-COFFEE S-COUNT O
그러면 아메리카노 따뜻한 거 한 잔 주세요,O S-COFFEE S-TEMP O B-COUNT E-COUNT O
오늘의 커피랑 아이스 아메리카노 4개 주세요,B-COFFEE E-COFFEE S-TEMP S-COFFEE S-COUNT O
네 아이스 아메리카노도 하나 주세요,O S-TEMP S-COFFEE S-COUNT O
아메리카노 한 잔 주세요,S-COFFEE B-COUNT E-COUNT O
아메리카노 따뜻한거 하나 주세요,S-COFFEE S-TEMP S-COUNT O
그럼 비엔나 커피 하나 주세요,O B-COFFEE E-COFFEE S-COUNT O
모과차 한 잔하고 아메리카노 뜨거운 걸로 하나 주세요,S-TEA B-COUNT E-COUNT S-COFFEE S-TEMP O S-COUNT O
아메리카노 한 잔 주세요,S-COFFEE B-COUNT E-COUNT O
따뜻한 아메리카노 작은 걸로 4개 주세요,S-TEMP S-COFFEE S-SIZE O S-COUNT O
아메리카노 시원하게 하나 주세요,S-COFFEE S-TEMP S-COUNT O
오트밀 라떼 한 잔 주세요,B-COFFEE E-COFFEE B-COUNT E-COUNT O
페퍼민트 허브티로 하나 주세요,B-TEA E-TEA S-COUNT O
카페라떼 따뜻한 거 하나 주세요,S-COFFEE S-TEMP O S-COUNT O
라떼 따뜻한 거 테이크아웃으로 한 잔 주세요,S-COFFEE S-TEMP O O B-COUNT E-COUNT O
라떼 하나 주세요,S-COFFEE S-COUNT O
그러면 조금 진하게 라떼 따뜻한 거 한 잔 주세요,O O O S-COFFEE S-TEMP O B-COUNT E-COUNT O
아이스 아메리카노랑 카푸치노 한 잔씩 주세요,S-TEMP S-COFFEE S-COFFEE B-COUNT E-COUNT O
바나나 주스 하나랑 아메리카노 하나 주세요,B-JUICE E-JUICE S-COUNT S-COFFEE S-COUNT O
생크림 소프트 쉬폰 이거 하나 주세요,B-BAKE I-BAKE E-BAKE O S-COUNT O
블루마운틴 아메리카노 주세요,B-COFFEE E-COFFEE O
아메리카노 한 잔 주시겠어요,S-COFFEE B-COUNT E-COUNT O
아메키라노 한 잔 주세요,S-COFFEE B-COUNT E-COUNT O
그냥 아메리카노 한 잔 주세요,O S-COFFEE B-COUNT E-COUNT O
라떼 한 잔 살게요,S-COFFEE B-COUNT E-COUNT O
여기 밀크티 팔아요,O S-TEA O
밀크티 한잔 살게요,S-TEA S-COUNT O
플랜클링레몬 하나 주세요,S-JUICE S-COUNT O
아메리카노 따뜻한 거 하나 주세요,S-COFFEE S-TEMP O S-COUNT O
아메리카노 따뜻하게 한 잔 주세요,S-COFFEE S-TEMP B-COUNT E-COUNT O
일반 아메리카노로 5개 주세요,O S-COFFEE S-COUNT O
토마토주스 너무 달게하진 말고 하나 주세요,S-JUICE O O O S-COUNT O
카페라떼 한 잔 주세요,S-COFFEE B-COUNT E-COUNT O
바닐라딜라이트 네 잔 주세요,S-COFFEE B-COUNT E-COUNT O
유로드립 한 잔 하구요 카푸치노 주세요,S-COFFEE B-COUNT E-COUNT O S-COFFEE O
아메리카노 R사이즈 하나 주세요,S-COFFEE S-SIZE S-COUNT O
아이스 아메리카노 한 잔 주세요,S-TEMP S-COFFEE B-COUNT E-COUNT O
자몽에이드하고 카푸치노 4개 주세요,S-JUICE S-COFFEE S-COUNT O
요거트 스무디 하나랑 딸기 스무디 그리고 아이스 아메리카노 주세요,B-JUICE E-JUICE S-COUNT B-JUICE E-JUICE O S-TEMP S-COFFEE O
아메리카노 하나 주세요,S-COFFEE S-COUNT O
아메리카노 하나 주세요,S-COFFEE S-COUNT O
아메리카노 하나주세요,S-COFFEE S-COUNT
레귤러 사이즈로 아메리카노 한잔 주세요,B-SIZE E-SIZE S-COFFEE S-COUNT O
아메리카노 한잔 주세요,S-COFFEE S-COUNT O
아메리카노 테이크 아웃으로 해주세요,S-COFFEE O O O
일반 카푸치노 따듯하게 하나 해주실래요,O S-COFFEE S-TEMP S-COUNT O
아메리카노 한 잔 테이크 아웃 해주세요,S-COFFEE B-COUNT E-COUNT O O O
아메리카노 따뜻하게 한 잔주세요,S-COFFEE S-TEMP B-COUNT E-COUNT
아메리카노 따뜻한 걸로 주세요,S-COFFEE S-TEMP O O
아이스 아메리카노 한 잔 주세요,S-TEMP S-COFFEE B-COUNT E-COUNT O
아이스 아메리카노 한 잔이랑 라떼 따뜻하게 한 잔 주세요,S-TEMP S-COFFEE B-COUNT E-COUNT S-COFFEE S-TEMP B-COUNT E-COUNT O
생아메리카노 한 잔 좀 주세요,S-COFFEE B-COUNT E-COUNT O O
아메리카노 아이스 한 잔만 줄 수 있어요,S-COFFEE S-TEMP B-COUNT E-COUNT O O O
아이스 아메리카노 하나하고 딸기 요거트 하나 주세요,S-TEMP S-COFFEE S-COUNT B-JUICE E-JUICE S-COUNT O
아메리카노 따뜻한 거 하나 주세요,S-COFFEE S-TEMP O S-COUNT O
커피 4잔 주세요,S-COFFEE S-COUNT O
아메리카노 한 잔 주세요,S-COFFEE B-COUNT E-COUNT O
아메리카노 아이스 하나 주세요,S-COFFEE S-TEMP S-COUNT O
저는 아이스 아메리카노 한 잔 주세요,O S-TEMP S-COFFEE B-COUNT E-COUNT O
치즈케이크 하나 주세요,S-BAKE S-COUNT O
생딸기쥬스 작은 거 하나 주세요,S-JUICE S-SIZE O S-COUNT O
아메리카노 한 잔 하고 오리지날 프레즐 하나 주세요,S-COFFEE B-COUNT E-COUNT O B-BAKE E-BAKE S-COUNT O
그럼 놔두고 따뜻한 아메리카노만 주세요,O O S-TEMP S-COFFEE O
따뜻한 아메리카노 한 잔 주세요,S-TEMP S-COFFEE B-COUNT E-COUNT O
아몬드 카페 라떼 하나하고 아메리카노 하나 밀크티 따뜻한 거 한 잔이요,B-COFFEE I-COFFEE E-COFFEE S-COUNT S-COFFEE S-COUNT S-TEA S-TEMP O B-COUNT E-COUNT
그러면 그냥 아메리카노로 하나 주세요,O O S-COFFEE S-COUNT O
그러면 아메리카노 원샷으로 주세요,O S-COFFEE O O
그러면 아메리카노 한 잔 주세요,O S-COFFEE B-COUNT E-COUNT O
아메리카노로 하나 주세요,S-COFFEE S-COUNT O
아메리카노 한 잔 주시겠어요,S-COFFEE B-COUNT E-COUNT O
아메리카노 한 잔 주세요,S-COFFEE B-COUNT E-COUNT O
아이스 아메리카노 한 잔 주세요,S-TEMP S-COFFEE B-COUNT E-COUNT O
아이스아메리카노 두 개만 주세요,S-COFFEE B-COUNT E-COUNT O
카페라떼로 2잔 주세요,S-COFFEE S-COUNT O
아인슈페너 한 개랑 아메리카노 따뜻한거 하나 주세요,S-COFFEE B-COUNT E-COUNT S-COFFEE S-TEMP S-COUNT O
따뜻한 아메리카노 4잔 주세요,S-TEMP S-COFFEE S-COUNT O
더치라떼 따뜻한 거 하나 주세요,S-COFFEE S-TEMP O S-COUNT O
아메리카노 한 잔 주세요,S-COFFEE B-COUNT E-COUNT O
솔트 치즈 카페라떼 하나 주세요,B-JUICE E-JUICE S-COFFEE S-COUNT O
블루베리 주스를 먹을게요,B-JUICE E-JUICE O
아메리카노 제일 작은 사이즈로 3개 주세요,S-COFFEE O B-SIZE E-SIZE S-COUNT O
아메리카노 레귤러 사이즈 하나 주세요,S-COFFEE B-SIZE E-SIZE S-COUNT O
더치커피 하나 주세요,S-COFFEE S-COUNT O
아메리카노 작은 사이즈로 주세요,S-COFFEE B-SIZE E-SIZE O
카페라떼 아이스로 하나 주세요,S-COFFEE S-TEMP S-COUNT O
아메리카노 한샷 반 주세요,S-COFFEE O O O
카푸치노 한 잔 주시겠어요,S-COFFEE B-COUNT E-COUNT O
아메리카노 한 잔 주세요,S-COFFEE B-COUNT E-COUNT O
아메리카노 한 잔 주세요,S-COFFEE B-COUNT E-COUNT O
아메리카노로 뜨겁게 5잔 해주세요,S-COFFEE S-TEMP S-COUNT O
아메리카노 4잔 주세요,S-COFFEE S-COUNT O
아메리카노 따뜻한 거 한 잔 주세요,S-COFFEE S-TEMP O B-COUNT E-COUNT O
따뜻한 아메리카노 한 잔 주세요,S-TEMP S-COFFEE B-COUNT E-COUNT O
아메리카노 작은 사이즈로 한 잔 주시겠어요,S-COFFEE B-SIZE E-SIZE B-COUNT E-COUNT O
아메리카노를 디카페인으로 주세요,S-COFFEE O O
아메리카노 한 잔 주시겠어요,S-COFFEE B-COUNT E-COUNT O
아메리카노 하나 주시겠어요,S-COFFEE S-COUNT O
아메리카노 한 잔 텀블러에 담아주세요,S-COFFEE B-COUNT E-COUNT O O
카푸치노 한 잔 주시겠어요,S-COFFEE B-COUNT E-COUNT O
카푸치노 두 잔 주시겠어요,S-COFFEE B-COUNT E-COUNT O
카푸치노 세 잔 주시겠어요,S-COFFEE B-COUNT E-COUNT O
바닐라 라떼 네 잔 주시겠어요,B-COFFEE E-COFFEE B-COUNT E-COUNT O
콜드브루 다섯 잔 주시겠어요,S-COFFEE B-COUNT E-COUNT O
콜드 브루 라떼 한 잔 주시겠어요,B-COFFEE I-COFFEE E-COFFEE B-COUNT E-COUNT O
아메리카노 따뜻한 거 한 잔 주시겠어요,S-COFFEE S-TEMP O B-COUNT E-COUNT O
아보카도 하나 주세요,S-COFFEE S-COUNT O
녹차라떼 덜 달게 하나 주시겠어요,S-COFFEE O O S-COUNT O
반반주스 하나 주시겠어요,S-JUICE S-COUNT O
약간 산미 나는 걸로 한 잔 주실래요,O O O O B-COUNT E-COUNT O
아이스아메리카노 한 잔 주세요,S-COFFEE B-COUNT E-COUNT O
초코케이크 하나 주세요,S-BAKE S-COUNT O
스무디 세 잔 주실래요,S-JUICE B-COUNT E-COUNT O
아이스 라테 한 잔 주세요,S-TEMP S-COFFEE B-COUNT E-COUNT O
마카롱 다섯 개 주세요,S-BAKE B-COUNT E-COUNT O
에스프레소 한 잔 주세요,S-COFFEE B-COUNT E-COUNT O
치즈케이크 하나 주문할게요,S-BAKE S-COUNT O
더치커피는 작은 것도 팔아요,S-COFFEE S-SIZE O O
여기 더치커피 팔아요,O S-COFFEE O
과일 음료 4잔 주문할 수 있어요,B-JUICE E-JUICE S-COUNT O O O
에스프레소도 주문 가능한가요,S-COFFEE O O
딸기 스무디 5잔 되나요,B-JUICE E-JUICE S-COUNT O
치즈케이크 두조각 있나요,S-BAKE S-COUNT O
치즈 케이크는 지금 없나요,B-BAKE E-BAKE O O
마카롱은 남아있나요,S-BAKE O
핫초코 5잔 파나요,S-TEA S-COUNT O
카페모카 주문돼요,S-COFFEE O
캐러멜 프라푸치노 겨울에도 되나요,B-COFFEE E-COFFEE O O
카푸치노 아이스로 되나요,S-COFFEE S-TEMP O
케이크도 2조각 함께 주문 가능한가요,S-BAKE S-COUNT O O O
에스프레소 4잔 가능한가요,S-COFFEE S-COUNT O
아포가토 주문 가능한가요,S-COFFEE O O
바닐라 라테 주문 가능한가요,B-COFFEE E-COFFEE O O
초코 라테 되나요,B-COFFEE E-COFFEE O
겨울인데 빙수 주문 가능할까요,O S-JUICE O O
콜드브루 라테 되나요,B-COFFEE E-COFFEE O
지금 딸기 스무디 2잔 주문 가능한가요,O B-JUICE E-JUICE S-COUNT O O
그럼 딸기 에이드는 가능한가요,O B-JUICE E-JUICE O
초코 바나나 스무디 되나요,B-JUICE I-JUICE E-JUICE O
디카페인 커피 주문 가능한가요,O S-COFFEE O O
초코라떼 있어요,S-COFFEE O
카페라테 따뜻한 거 한 잔 주문 여기서 해요,S-COFFEE S-TEMP O B-COUNT E-COUNT O O O
생과일 주스도 가능해요,B-JUICE E-JUICE O
아이스 아메리카노 되나요,S-TEMP S-COFFEE O
치즈 케이크도 2조각 파나요,B-BAKE E-BAKE S-COUNT O
그러면 아메리카노는 되나요,O S-COFFEE O
아메리카노 네잔 주문 가능한가요,S-COFFEE S-COUNT O O
아이스 아메리카노 바로 되나요,S-TEMP S-COFFEE O O
아메리카노 따뜻한 거 있죠,S-COFFEE S-TEMP O O
콜드브루 파나요,S-COFFEE O
더치 커피 있나요,B-COFFEE E-COFFEE O
콜드브루 커피 있나요,B-COFFEE E-COFFEE O
콜드브루 있나요,S-COFFEE O
유자차를 좀 주시지요,S-TEA O O
커피 좀 주시지요,S-COFFEE O O
아메리카노 주십시오,S-COFFEE O
유자차를 세잔 좀 주시지요,S-TEA S-COUNT O O
커피 좀 주시지요,S-COFFEE O O
아메리카노 주십시오,S-COFFEE O
카페라떼 한잔 주시게나,S-COFFEE S-COUNT O
카라멜 마끼아또 주세요,B-COFFEE E-COFFEE O
카라멜 마끼아또 하나 주세요,B-COFFEE E-COFFEE S-COUNT O
카라멜 마끼아또로 할게요,B-COFFEE E-COFFEE O
카라멜 마끼아또를 먹고 싶어요,B-COFFEE E-COFFEE O O
카라멜 마끼아또 주시겠어요,B-COFFEE E-COFFEE O
저 카라멜 마끼아또 먹을게요,O B-COFFEE E-COFFEE O
딸기주스 주세요,S-JUICE O
딸기주스 하나 주세요,S-JUICE S-COUNT O
딸기주스로 할게요,S-JUICE O
시원한 딸기주스를 먹고 싶어요,S-TEMP S-JUICE O O
딸기주스도 먹을게요,S-JUICE O
딸기주스도 추가할게요,S-JUICE O
카라멜 마끼아또도 추가할게요,B-COFFEE E-COFFEE O
아보카도로 주세요,S-COFFEE O
아보카도로 하나 주세요,S-COFFEE S-COUNT O
아보카도로 할게요,S-COFFEE O
아보카도를 먹고 싶어요,S-COFFEE O O
아보카도로 주시겠어요,S-COFFEE O
저 아보카도로 할게요,O S-COFFEE O
밀크티도 추가할게요,S-TEA O
밀크티로 주세요,S-TEA O
밀크티로 하나 주세요,S-TEA S-COUNT O
밀크티로 할게요,S-TEA O
밀크티도 먹고싶어요,S-TEA O
밀크티를 주시겠어요,S-TEA O
저 밀크티로 먹을게요,O S-TEA O
밀크티도 추가할게요,S-TEA O
밀크티를 주세요,S-TEA O
밀크티를 하나 주시겠어요,S-TEA S-COUNT O
밀크 티로 할게요,B-TEA E-TEA O
밀크 티를 먹고 싶네요,B-TEA E-TEA O O 
밀크 티 좀 주시겠어요,B-TEA E-TEA O O
저 밀크 티 먹을게요,O B-TEA E-TEA O
밀크 티도 추가할게요,B-TEA E-TEA O
밀크 티도 먹을게요,B-TEA E-TEA O
밀크 티도 추가할게요,B-TEA E-TEA O
밀크 티로 주세요,B-TEA E-TEA O
밀크 티로 하나 주세요,B-TEA E-TEA S-COUNT O
밀크 티로 할게요,B-TEA E-TEA O
저 밀크티 먹고 싶어요,O S-TEA O O
밀크티로 주시겠어요,S-TEA O
저 그럼 밀크티 먹을게요,O O S-TEA O
밀크 티 추가할게요,B-TEA E-TEA O
홍차 주세요,S-TEA O
홍차 하나 주세요,S-TEA S-COUNT O
홍차로 할게요,S-TEA O
홍차 한 잔 먹고 싶어요,S-TEA B-COUNT E-COUNT O O
홍차 하나 주시겠어요,S-TEA S-COUNT O
저 홍차 먹을게요,O S-TEA O
홍차도 추가할게요,S-TEA O
홍차로 주세요,S-TEA O
홍차로 하나 주세요,S-TEA S-COUNT O
홍차로 할게요,S-TEA O
홍차 한잔 먹고 싶어요,S-TEA S-COUNT O O
홍차로 주시겠어요,S-TEA O
저 홍차로 먹을게요,O S-TEA O
그럼 홍차도 추가할게요,O S-TEA O
유자차로 주세요,S-TEA O
유자차로 하나 주세요,S-TEA S-COUNT O
유자차로 한잔 할게요,S-TEA S-COUNT O
따뜻한 유자차를 먹고 싶어요,S-TEMP S-TEA O O
유자차로 주시겠어요,S-TEA O
저 유자차 먹을게요,O S-TEA O
유자차도 추가할게요,S-TEA O
유자차도  주세요,S-TEA  O
유자차도 하나 주세요,S-TEA S-COUNT O
유자차도 하나 할게요,S-TEA S-COUNT O
녹차로 먹고 싶어요,S-TEA O O
녹차로 주시겠어요,S-TEA O
저 그럼 녹차 하나 먹을게요,O O S-TEA S-COUNT O
녹차도 추가할게요,S-TEA O
녹차도 주세요,S-TEA O
녹차도 하나 주세요,S-TEA S-COUNT O
녹차 따뜻한거 할게요,S-TEA S-TEMP O
녹차 따뜻한걸로 먹고 싶어요,S-TEA S-TEMP O O
녹차 한잔 주시겠어요,S-TEA S-COUNT O
저 녹차 먹을게요,O S-TEA O
녹차도 추가할래요,S-TEA O
녹차 주세요,S-TEA O
녹차 하나랑 유자차 한잔 주세요,S-TEA S-COUNT S-TEA S-COUNT O
자몽차로 할게요,S-TEA O
따뜻한 자몽차 먹고 싶어요,S-TEMP S-TEA O O
자몽차로 주시겠어요,S-TEA O
저 자몽차도 먹을게요,O S-TEA O
자몽차도 추가할게요,S-TEA O
자몽차로 한잔 주세요,S-TEA S-COUNT O
자몽차 하나 주세요,S-TEA S-COUNT O
그럼 자몽차로 할게요,O S-TEA O
자몽차가 먹고 싶어요,S-TEA O O
자몽차로 주시겠어요,S-TEA O
저 자몽차로 먹을게요,O S-TEA O
그럼 자몽차도 추가할게요,O S-TEA O
자몽차랑 녹차로 주세요,S-TEA S-TEA O
토마토 주스 하나 주세요,B-JUICE E-JUICE S-COUNT O
토마토 주스로 할게요,B-JUICE E-JUICE O
토마토 주스 먹고 싶어요,B-JUICE E-JUICE O O
토마토 주스로 주시겠어요,B-JUICE E-JUICE O
저 시원한 토마토 주스 먹을게요,O S-TEMP B-JUICE E-JUICE O
토마토 주스도 추가할게요,B-JUICE E-JUICE O
토마토 주스도 추가할래요,B-JUICE E-JUICE O
토마토 주스도 한잔 추가할게요,B-JUICE E-JUICE S-COUNT O
토마토 주스로 주실래요,B-JUICE E-JUICE O
토마토주스로 주세요,S-JUICE O
시원한 토마토주스로 한잔 가능한가요,S-TEMP S-JUICE S-COUNT O
토마토주스로 하겠습니다,S-JUICE O
토마토주스가 낫겠네요,S-JUICE O
토마토주스로 할게요,S-JUICE O
딸기 주스 작은 사이즈 주세요,B-JUICE E-JUICE B-SIZE E-SIZE O
딸기 주스 하나 주세요,B-JUICE E-JUICE S-COUNT O
딸기주스로 할게요,S-JUICE O
딸기주스를 먹고 싶어요,S-JUICE O O
딸기주스로 먹을게요,S-JUICE O
딸기 주스도 추가할게요,B-JUICE E-JUICE O
딸기주스로 주세요,S-JUICE O
딸기주스로 하나 주세요,S-JUICE S-COUNT O
그럼 딸기주스로 할게요,O S-JUICE O
딸기주스를 먹고 싶어요,S-JUICE O O
딸기주스로 먹을게요,S-JUICE O
딸기주스 주세요,S-JUICE O
딸기주스 하나 부탁해요,S-JUICE S-COUNT O
딸기주스 작은 사이즈로 하나 주세요,S-JUICE B-SIZE E-SIZE S-COUNT O
딸기주스 시원하게 하나 주세요,S-JUICE S-TEMP S-COUNT O
딸기주스 부탁드립니다,S-JUICE O
딸기주스 하나만 주실래요,S-JUICE S-COUNT O
딸기 주스 주세요,B-JUICE E-JUICE O
딸기 주스 하나 주시겠어요,B-JUICE E-JUICE S-COUNT O
딸기 주스 추가할게요,B-JUICE E-JUICE O
딸기주스로 할래요,S-JUICE O
딸기 주스로 할래요,B-JUICE E-JUICE O
딸기 주스로 하나 주세요,B-JUICE E-JUICE S-COUNT O
블루베리주스도 추가할게요,S-JUICE O
블루베리 주스 주세요,B-JUICE E-JUICE O
블루베리 주스 하나 주세요,B-JUICE E-JUICE S-COUNT O
블루베리 주스로 할게요,B-JUICE E-JUICE O
블루베리 주스를 먹고 싶어요,B-JUICE E-JUICE O O
블루베리 주스로 먹을게요,B-JUICE E-JUICE O
블루베리 주스도 추가할게요,B-JUICE E-JUICE O
블루베리 주스로 주세요,B-JUICE E-JUICE O
블루베리 주스로 하나 주세요,B-JUICE E-JUICE S-COUNT O
블루베리 주스로 할게요,B-JUICE E-JUICE O
블루베리 주스를 먹고 싶어요,B-JUICE E-JUICE O O
블루베리주스 먹을게요,S-JUICE O
블루베리주스도 추가할게요,S-JUICE O
블루베리주스 작은 사이즈 주세요,S-JUICE B-SIZE E-SIZE O
블루베리주스 하나 주세요,S-JUICE S-COUNT O
블루베리주스로 할게요,S-JUICE O
블루베리주스를 먹고 싶어요,S-JUICE O O
블루베리주스 먹을게요,S-JUICE O
블루베리주스도 추가할게요,S-JUICE O
블루베리주스로 주세요,S-JUICE O
블루베리주스로 하나 주세요,S-JUICE S-COUNT O
블루베리주스로 할게요,S-JUICE O
레몬에이드를 먹고 싶어요,S-JUICE O O
레몬에이드 먹을게요,S-JUICE O
레몬에이드도 추가할게요,S-JUICE O
레몬에이드 주세요,S-JUICE O
